Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100nF,
C2,0805,1,10uF,
C5,0805,1,100nF,
D1,0805,1,LED,
"J1, J2","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",2,Screw_Terminal_01x04,
J3,PinHeader_2x08_P2.54mm_Vertical,1,Timer Config,
"J4, J5, J6",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Socket,
Q1,SOP-8_L5.0-W4.0-P1.27-LS6.2-BL,1,AO4459,C49047
R1,0603,1,1K,
R11,0805,1,169K,
R12,0805,1,124K,
R13,0805,1,91K,
R14,0805,1,76.8K,
R15,0805,1,43.2K,
R16,0805,1,34.8K,
R17,0805,1,22K,
R18,0805,1,16.9K,
R19,0603,1,10K,
R20,0805,1,1M,
RV1,Potentiometer_Bourns_3296W_Vertical,1,200K,
SW1,PinHeader_1x02_P2.54mm_Vertical,1,SW_Push,
U1,SOT-23-6,1,TPL5110,
